B_T,Delta_inter_min_MHz
0.617,0.3523952421949992
0.618,0.34759779976979965
0.619,0.3428003573446001
0.62,0.33800291491940104
0.621,0.3332054724942015
0.622,0.328408030069002
0.623,0.32361058764380246
0.624,0.3188131452186034
0.625,0.31401570279340385
0.626,0.3092182603682043
0.627,0.3044208179430048
0.628,0.29962337551780527
0.629,0.2948259330926062
0.63,0.29002849066740666
0.631,0.28523104824220713
0.632,0.2804336058170076
0.633,0.2756361633918081
0.634,0.270838720966609
0.635,0.26604127854140946
0.636,0.26124383611620994
0.637,0.2564463936910104
0.638,0.2516489512658113
0.639,0.2468515088406118
0.64,0.24205406641541227
0.641,0.23725662399021274
0.642,0.23245918156501322
0.643,0.22766173913981413
0.644,0.2228642967146146
0.645,0.21806685428941508
0.646,0.21326941186421555
0.647,0.20847196943901602
0.648,0.20367452701381694
0.649,0.19887708458861741
0.65,0.1940796421634179
0.651,0.18928219973821836
0.652,0.18448475731301883
0.653,0.17968731488781975
0.654,0.17488987246262022
0.655,0.1700924300374207
0.656,0.16529498761222117
0.657,0.16049754518702208
0.658,0.15570010276182256
0.659,0.15090266033662303
0.66,0.1461052179114235
0.661,0.14130777548622397
0.662,0.1365103330610249
0.663,0.13171289063582536
0.664,0.12691544821062584
0.665,0.12211800578542631
0.666,0.11732056336022678
0.667,0.1125231209350277
0.668,0.10772567850982817
0.669,0.10292823608462864
0.67,0.09813079365942912
0.671,0.09333335123423003
0.672,0.0885359088090305
0.673,0.08373846638383098
0.674,0.07894102395863145
0.675,0.07414358153343192
0.676,0.06934613910823284
0.677,0.06454869668303331
0.678,0.059751254257833786
0.679,0.05495381183263426
0.6799999999999999,0.05015636940743562
0.681,0.04535892698223565
0.6819999999999999,0.040561484557036565
0.683,0.03576404213183659
0.6839999999999999,0.03096659970663751
0.685,0.02616915728143754
0.6859999999999999,0.0213717148562389
0.687,0.016574272431038928
0.688,0.011776830005839845
0.6890000000000001,0.006979387580639873
0.69,0.002181945155441234
0.6910000000000001,0.0026154972697587375
0.692,0.007412939694957821
0.6930000000000001,0.012210382120157792
0.694,0.01700782454535643
0.6950000000000001,0.021805266970556403
0.696,0.026602709395755486
0.6970000000000001,0.03140015182095546
0.698,0.03619759424615454
0.6990000000000001,0.04099503667135451
0.7,0.04579247909655315
0.7010000000000001,0.05058992152175312
0.702,0.055387363946952206
0.7030000000000001,0.06018480637215218
0.704,0.06498224879735082
0.7050000000000001,0.06977969122255079
0.706,0.07457713364774987
0.7070000000000001,0.07937457607294984
0.708,0.08417201849814848
0.7090000000000001,0.08896946092334845
0.71,0.09376690334854754
0.7110000000000001,0.09856434577374751
0.712,0.10336178819894659
0.7130000000000001,0.10815923062414656
0.714,0.1129566730493452
0.7150000000000001,0.11775411547454517
0.716,0.12255155789974426
0.7170000000000001,0.12734900032494423
0.718,0.13214644275014287
0.7190000000000001,0.13694388517534284
0.72,0.14174132760054192
0.7210000000000001,0.1465387700257419
0.722,0.15133621245094053
0.7230000000000001,0.1561336548761405
0.724,0.1609310973013396
0.7250000000000001,0.16572853972653956
0.726,0.17052598215173864
0.7270000000000001,0.1753234245769386
0.728,0.18012086700213725
0.7290000000000001,0.18491830942733722
0.73,0.1897157518525363
0.7310000000000001,0.19451319427773628
0.732,0.19931063670293492
0.7330000000000001,0.2041080791281349
0.734,0.20890552155333397
0.7350000000000001,0.21370296397853394
0.736,0.21850040640373258
0.7370000000000001,0.22329784882893255
0.738,0.22809529125413164
0.7390000000000001,0.2328927336793316
