B_T,worst_MHz,p05_MHz,median_MHz,p95_MHz,best_MHz,limiting_index,limit_kappa_MHz,limit_gz,limit_Btip_T,limit_phi_deg,limit_Az_MHz,limit_Aperp_over_Az,limit_gperp_over_gz
1.0303999999999984,1.1821394826724827,1.19004778958315,1.3854604302994176,1.6307348444990795,1.630863382069947,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0305999999999984,1.1812006949317038,1.1891076453817278,1.386431994463237,1.6316944099321744,1.6318228776854085,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0307999999999984,1.1802619000968662,1.1881674945588656,1.387401424003201,1.6326539753234783,1.6327823732963225,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0309999999999984,1.1793230981647866,1.1872273370878248,1.3883708500088687,1.6336135406555967,1.633741868893594,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0311999999999983,1.1783842891254608,1.1862871730059397,1.3893402724634143,1.6345731059176842,1.6347013644926847,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0313999999999983,1.1774454729957142,1.1853470022848343,1.3903096913813897,1.635532671142073,1.6356608600872278,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0315999999999983,1.1765066498037413,1.1844068249466546,1.3912791067582475,1.636492236306276,1.6366203556754044,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0317999999999983,1.1755678195095243,1.1834666409707553,1.3922485186039921,1.6374518014149317,1.6375798512626716,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0319999999999983,1.174628982149443,1.182526450394016,1.3932260491449142,1.6384113664659252,1.6385393468408438,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0321999999999982,1.1736901377016693,1.1815862531860604,1.3942022809847003,1.639370931462281,1.6394988424144685,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0323999999999982,1.1727512861893956,1.1806460493654867,1.3951716722299352,1.6403304964120935,1.6404583379890028,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
