B_T,worst_MHz,p05_MHz,median_MHz,p95_MHz,best_MHz,limiting_index,limit_kappa_MHz,limit_gz,limit_Btip_T,limit_phi_deg,limit_Az_MHz,limit_Aperp_over_Az,limit_gperp_over_gz
0.993,1.006371289566232,1.023616124959517,1.378850767030599,1.4814998388925915,1.4816110976271375,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.994,1.011403890699512,1.028633222377539,1.3789294504972531,1.4767027295815296,1.4768136786442483,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.995,1.0164360592561934,1.0336499149763312,1.379007993695268,1.4719056190253923,1.4720162595522197,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.996,1.0214677964236216,1.0386662038819394,1.3790863970123155,1.467108507224566,1.4672188403628752,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.997,1.0264991033932347,1.0436820902186354,1.379164660800825,1.4704866014745448,1.47062754774106,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.998,1.0315299813441925,1.0486975750818146,1.3792427854448306,1.4752844777898644,1.4754250298483385,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.999,1.0365604314420125,1.0537126595758308,1.3793207713090396,1.4800823525035867,1.4802225118219212,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0,1.0415904548935941,1.058727344818044,1.3772079235268393,1.4848802256260343,1.4850199936636272,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.001,1.0466200528530862,1.0637416318939814,1.3724728051790862,1.4896780971619819,1.489817475372547,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.002,1.0516492264678163,1.0687555218974922,1.3677375782124273,1.4944759671156362,1.4946149569595946,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0030000000000001,1.056677976930132,1.073769015907601,1.3630022429231303,1.499273835501981,1.4994124384129464,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.004,1.061706305385087,1.0787821150477612,1.3582667995542579,1.5040717023221077,1.5042099197362404,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.005,1.0667342129759163,1.0837948203583891,1.3563543253376338,1.5088695675834742,1.5090074009349337,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.006,1.0717617008690468,1.0888071329396554,1.3563678496602734,1.5136674312958576,1.5138048820035692,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
