label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
current_49Ti,46.3738,1.4240000000000008,0.20673564466846805
current_49Ti,46.3738,1.4260000000000006,0.21633053823040083
current_49Ti,46.3738,1.4280000000000008,0.22592543179233626
current_49Ti,46.3738,1.4300000000000006,0.23552032535426903
current_49Ti,46.3738,1.4320000000000008,0.24511521891620447
current_49Ti,46.3738,1.4340000000000006,0.25471011247813724
current_49Ti,46.3738,1.4360000000000008,0.2643050060400727
current_49Ti,46.3738,1.4380000000000006,0.27389989960200545
current_49Ti,46.3738,1.4400000000000008,0.2834947931639409
current_49Ti,46.3738,1.4420000000000006,0.29308968672587365
current_49Ti,46.3738,1.4440000000000008,0.3026845802878091
current_49Ti,46.3738,1.4460000000000006,0.31227947384974186
current_49Ti,46.3738,1.4480000000000008,0.3218743674116764
current_49Ti,46.3738,1.4500000000000006,0.33146926097361007
current_49Ti,46.3738,1.4520000000000008,0.3410641545355446
current_49Ti,46.3738,1.4540000000000006,0.3506590480974783
current_49Ti,46.3738,1.4560000000000008,0.3602539416594128
current_49Ti,46.3738,1.4580000000000006,0.3698488352213456
current_49Ti,46.3738,1.4600000000000009,0.37944372878328103
current_49Ti,46.3738,1.4620000000000006,0.3890386223452138
current_49Ti,46.3738,1.4640000000000009,0.39863351590714924
current_49Ti,46.3738,1.4660000000000006,0.408228409469082
current_49Ti,46.3738,1.4680000000000009,0.41782330303101745
current_49Ti,46.3738,1.4700000000000006,0.4274181965929502
current_49Ti,46.3738,1.4720000000000009,0.43701309015488565
current_49Ti,46.3738,1.4740000000000006,0.4466079837168184
current_49Ti,46.3738,1.4760000000000009,0.45620287727875386
current_49Ti,46.3738,1.4780000000000006,0.46579777084068663
current_49Ti,46.3738,1.4800000000000009,0.4753926644026212
current_49Ti,46.3738,1.4820000000000007,0.48498755796455484
current_49Ti,46.3738,1.4840000000000009,0.4945824515264894
current_49Ti,46.3738,1.4860000000000007,0.504177345088423
current_49Ti,46.3738,1.4880000000000009,0.5137722386503576
current_49Ti,46.3738,1.4900000000000007,0.5233671322122904
current_49Ti,46.3738,1.4920000000000009,0.5329620257742258
current_49Ti,46.3738,1.4940000000000007,0.5425569193361586
current_49Ti,46.3738,1.4960000000000009,0.552151812898094
current_49Ti,46.3738,1.4980000000000007,0.5617467064600268
current_49Ti,46.3738,1.5000000000000009,0.5713416000219622
current_49Ti,46.3738,1.5020000000000007,0.580936493583895
current_49Ti,46.3738,1.504000000000001,0.5905313871458304
current_49Ti,46.3738,1.5060000000000007,0.6001262807077632
current_49Ti,46.3738,1.508000000000001,0.6097211742696986
current_49Ti,46.3738,1.5100000000000007,0.6193160678316314
current_49Ti,46.3738,1.512000000000001,0.628910961393566
current_49Ti,46.3738,1.5140000000000007,0.6385058549554996
current_49Ti,46.3738,1.516000000000001,0.6481007485174342
current_49Ti,46.3738,1.5180000000000007,0.6576956420793678
current_49Ti,46.3738,1.520000000000001,0.6672905356413024
current_49Ti,46.3738,1.5220000000000007,0.6768854292032351
current_49Ti,46.3738,1.524000000000001,0.6864803227651706
current_49Ti,46.3738,1.5260000000000007,0.6960752163271033
current_49Ti,46.3738,1.528000000000001,0.7056701098890388
current_49Ti,46.3738,1.5300000000000007,0.7152650034509715
current_49Ti,46.3738,1.532000000000001,0.724859897012907
current_49Ti,46.3738,1.5340000000000007,0.7344547905748398
current_49Ti,46.3738,1.536000000000001,0.7440496841367752
current_49Ti,46.3738,1.5380000000000007,0.753644577698708
current_49Ti,46.3738,1.540000000000001,0.7632394712606434
current_49Ti,46.3738,1.5420000000000007,0.7728343648225762
current_49Ti,46.3738,1.544000000000001,0.7824292583845107
current_49Ti,46.3738,1.5460000000000007,0.7920241519464444
current_49Ti,46.3738,1.548000000000001,0.8016190455083789
current_49Ti,46.3738,1.5500000000000007,0.8112139390703126
current_49Ti,46.3738,1.552000000000001,0.8208088326322471
current_49Ti,46.3738,1.5540000000000007,0.8304037261941799
current_49Ti,46.3738,1.556000000000001,0.8399986197561153
current_49Ti,46.3738,1.5580000000000007,0.8495935133180481
current_49Ti,46.3738,1.560000000000001,0.8591884068799835
current_49Ti,46.3738,1.5620000000000007,0.8687833004419163
current_49Ti,46.3738,1.564000000000001,0.8783781940038518
current_49Ti,46.3738,1.5660000000000007,0.8879730875657845
current_49Ti,46.3738,1.568000000000001,0.89756798112772
current_49Ti,46.3738,1.5700000000000007,0.9071628746896527
current_49Ti,46.3738,1.572000000000001,0.9167577682515882
current_49Ti,46.3738,1.5740000000000007,0.9263526618135209
current_49Ti,46.3738,1.576000000000001,0.9359475553754555
current_49Ti,46.3738,1.5780000000000007,0.9455424489373891
current_49Ti,46.3738,1.580000000000001,0.9551373424993237
current_49Ti,46.3738,1.5820000000000007,0.9647322360612574
current_49Ti,46.3738,1.584000000000001,0.9743271296231919
current_49Ti,46.3738,1.5860000000000007,0.9839220231851247
current_49Ti,46.3738,1.588000000000001,0.9935169167470601
current_49Ti,46.3738,1.5900000000000007,1.0031118103089929
current_49Ti,46.3738,1.592000000000001,1.0127067038709283
current_49Ti,46.3738,1.5940000000000007,1.022301597432861
current_49Ti,46.3738,1.596000000000001,1.0318964909947965
current_49Ti,46.3738,1.5980000000000008,1.0414913845567293
current_49Ti,46.3738,1.600000000000001,1.0510862781186647
current_49Ti,46.3738,1.6020000000000008,1.0606811716805975
current_49Ti,46.3738,1.604000000000001,1.070276065242533
current_49Ti,46.3738,1.6060000000000008,1.0798709588044657
current_49Ti,46.3738,1.608000000000001,1.0894658523664003
current_49Ti,46.3738,1.6100000000000008,1.099060745928334
current_49Ti,46.3738,1.612000000000001,1.1086556394902685
current_49Ti,46.3738,1.6140000000000008,1.1182505330522021
current_49Ti,46.3738,1.616000000000001,1.1278454266141367
current_49Ti,46.3738,1.6180000000000008,1.1374403201760694
current_49Ti,46.3738,1.620000000000001,1.1470352137380049
current_49Ti,46.3738,1.6220000000000008,1.1566301072999376
current_49Ti,46.3738,1.624000000000001,1.166225000861873
current_49Ti,46.3738,1.6260000000000008,1.1758198944238059
current_49Ti,46.3738,1.628000000000001,1.1854147879857413
current_49Ti,46.3738,1.6300000000000008,1.195009681547674
current_49Ti,46.3738,1.632000000000001,1.2046045751096095
current_49Ti,46.3738,1.6340000000000008,1.2141994686715423
current_49Ti,46.3738,1.636000000000001,1.2237943622334777
current_49Ti,46.3738,1.6380000000000008,1.2333892557954105
current_49Ti,46.3738,1.640000000000001,1.242984149357345
current_49Ti,46.3738,1.6420000000000008,1.2525790429192787
current_49Ti,46.3738,1.644000000000001,1.2621739364812132
current_49Ti,46.3738,1.6460000000000008,1.271768830043147
current_49Ti,46.3738,1.648000000000001,1.2813637236050814
current_49Ti,46.3738,1.6500000000000008,1.2909586171670142
